model_name,split,metric,persisted,recomputed,difference,tolerance,tolerance_fraction
scalar_ridge,validation,MAE_dB,7.323711147496465,7.323711145966228,-1.5302372702308276e-09,1e-07,0.015302372702308276
scalar_ridge,validation,RMSE_dB,10.811231495220731,10.81123149459637,-6.243610073397576e-10,1e-07,0.006243610073397576
scalar_ridge,test,MAE_dB,7.505073293554659,7.5050732940497475,4.950884147092438e-10,1e-07,0.004950884147092438
scalar_ridge,test,RMSE_dB,12.334198766524104,12.334198766107066,-4.170370715428362e-10,1e-07,0.004170370715428362
vector_ridge,validation,MAE_dB,7.32371114749663,7.323711145966393,-1.5302372702308276e-09,1e-07,0.015302372702308276
vector_ridge,validation,RMSE_dB,10.811231495220737,10.811231494596376,-6.243610073397576e-10,1e-07,0.006243610073397576
vector_ridge,test,MAE_dB,7.505073293554802,7.505073294049895,4.950928556013423e-10,1e-07,0.004950928556013423
vector_ridge,test,RMSE_dB,12.33419876652408,12.33419876610704,-4.17040624256515e-10,1e-07,0.00417040624256515
vector_ridge,validation,SixPathMAE_dB,7.4416651684809265,7.441665169112936,6.320091117117954e-10,0.0001,6.320091117117954e-06
vector_ridge,validation,SixPathRMSE_dB,10.98362581938334,10.983625821444758,2.0614177032030057e-09,0.0001,2.0614177032030057e-05
vector_ridge,test,SixPathMAE_dB,7.621757260723829,7.621757260846512,1.226831969347586e-10,0.0001,1.226831969347586e-06
vector_ridge,test,SixPathRMSE_dB,12.484577492518682,12.484577495065171,2.5464892416948715e-09,0.0001,2.5464892416948715e-05
polynomial_ridge,validation,MAE_dB,7.298657933138588,7.298657932112802,-1.0257865667995247e-09,1e-07,0.010257865667995247
polynomial_ridge,validation,RMSE_dB,10.792918583136084,10.79291858259143,-5.44654099599029e-10,1e-07,0.00544654099599029
polynomial_ridge,test,MAE_dB,7.496845875957329,7.4968458768238815,8.665521633588469e-10,1e-07,0.008665521633588469
polynomial_ridge,test,RMSE_dB,12.341083960747495,12.341083960359285,-3.8821035275304894e-10,1e-07,0.0038821035275304894
polynomial_ridge,validation,SixPathMAE_dB,7.422462229095682,7.4224622298906215,7.949392255568455e-10,0.0001,7.949392255568455e-06
polynomial_ridge,validation,SixPathRMSE_dB,10.963873930284418,10.963873932384752,2.1003341288405863e-09,0.0001,2.1003341288405863e-05
polynomial_ridge,test,SixPathMAE_dB,7.6205511712201455,7.620551171448273,2.2812773892155747e-10,0.0001,2.2812773892155747e-06
polynomial_ridge,test,SixPathRMSE_dB,12.490066094327956,12.490066096894505,2.5665496394822185e-09,0.0001,2.5665496394822185e-05
random_forest,validation,MAE_dB,7.671654490229017,7.67165449069898,4.699636235727667e-10,1e-08,0.046996362357276666
random_forest,validation,RMSE_dB,11.43015561931663,11.430155619883749,5.67119684546924e-10,1e-08,0.056711968454692396
random_forest,test,MAE_dB,7.804254249333248,7.804254249888847,5.555991222649936e-10,1e-08,0.055559912226499364
random_forest,test,RMSE_dB,12.689079990044574,12.689079989729901,-3.1467273231555737e-10,1e-08,0.03146727323155574
random_forest,validation,SixPathMAE_dB,7.734229320743417,7.734229321751829,1.0084120205533509e-09,0.0001,1.0084120205533509e-05
random_forest,validation,SixPathRMSE_dB,11.540342664010812,11.540342666044497,2.033685220226289e-09,0.0001,2.033685220226289e-05
