split,matrix,MagnitudeMin,MagnitudeMax,ReciprocityResidual,PassivityViolationFraction,MeanPassivityExcess,PassivityPenalty,MaximumSingularValue,BandLimitedCausalityResidual
validation,truth,1.3778571382808136e-12,0.999998152256012,3.410075028195393e-11,0.0,0.0,0.0,0.9999984502792358,0.3184761883173151
validation,prediction,4.9150665290653706e-05,0.6173315644264221,0.0,0.0,0.0,0.0,0.9241036772727966,0.48126135511969337
test,truth,7.803834186457669e-16,0.9999783635139465,6.997562987891349e-11,0.0,0.0,0.0,0.9999784827232361,0.317283764023363
test,prediction,8.412278111791238e-05,0.6125576496124268,0.0,0.0,0.0,0.0,0.9141315817832947,0.48123986612759917
