model,split,ComplexMAE,ComplexNRMSE
Training-Mean Reference,validation,0.08117783006792202,0.8370075284982588
Training-Mean Reference,test,0.08039935366807051,0.8342993550337543
Full S-Matrix Neural,validation,0.06903317047066083,0.7907848464690914
Full S-Matrix Neural,test,0.06856652240683837,0.7889254632606968
