frequency_ghz,truth_il_s7_1_db,curve_il_s7_1_db,full_matrix_il_s7_1_db,truth_s1_1_real,truth_s1_1_imag,prediction_s1_1_real,prediction_s1_1_imag,truth_s8_1_real,truth_s8_1_imag,prediction_s8_1_real,prediction_s8_1_imag
21.0,9.010292,8.790858,19.116028,-0.3157418,-0.28215644,-0.117118515,-0.13607448,-0.057172973,0.08526362,0.019586321,-0.0070711253
21.5,7.399737,9.119336,19.257648,-0.07445247,-0.23425102,-0.12394337,-0.13852587,0.097357176,0.028724441,0.018639244,-0.008887591
22.0,9.21858,9.437556,19.359816,-0.32768047,-0.24814537,-0.13105135,-0.14121434,0.038043357,-0.08782285,0.017658938,-0.010535388
22.5,7.810376,9.759942,19.442291,-0.10714529,-0.28641605,-0.13784294,-0.1444334,-0.099892534,-0.015517286,0.016642584,-0.012138506
23.0,9.603015,10.013617,19.478146,-0.3385999,-0.21993117,-0.14515828,-0.14904869,-0.018216474,0.0996897,0.015763842,-0.0137175415
23.5,8.270004,10.27578,19.530552,-0.14650565,-0.31896544,-0.15108669,-0.15247086,0.0959724,-0.008644684,0.014732454,-0.015227799
24.0,9.880337,10.529133,19.626162,-0.33799955,-0.18732016,-0.15385525,-0.15338437,0.005186858,-0.10276943,0.013617778,-0.016388642
24.5,9.071594,10.770204,19.762623,-0.18349598,-0.34592748,-0.15328452,-0.15187666,-0.10964079,0.021158105,0.012559577,-0.01695716
25.0,10.422286,10.998455,19.98376,-0.34347916,-0.19373997,-0.16312568,-0.15924408,0.036339633,0.12262161,0.01121612,-0.01769843
25.5,9.57268,11.25793,20.20796,-0.26185307,-0.35382116,-0.17514743,-0.16902414,0.09380794,-0.060919233,0.009904337,-0.018289935
26.0,10.093242,11.553664,20.377619,-0.33088386,-0.1092289,-0.18819614,-0.17851578,-0.055787835,-0.11322823,0.008460426,-0.019015865
26.5,10.589518,11.8399105,20.424498,-0.2931172,-0.3621847,-0.20534055,-0.19197929,-0.09802852,0.101456285,0.0069548744,-0.019960638
27.0,10.263877,12.143452,20.413988,-0.32507437,-0.12516814,-0.22233786,-0.19781193,0.123015374,0.09499151,0.004459748,-0.021391278
27.5,10.451979,12.492477,20.299976,-0.36546224,-0.31128648,-0.23403512,-0.19132861,0.04898803,-0.12633117,0.0019584561,-0.022780264
28.0,9.868395,12.889064,20.208948,-0.29748753,-0.09212,-0.23958537,-0.1801693,-0.14873673,-0.041341234,1.0892209e-05,-0.023493404
28.5,10.480929,13.221706,20.135723,-0.39266708,-0.24751791,-0.23452422,-0.16566318,-0.010891331,0.13158673,-0.0012812442,-0.02372869
29.0,9.686814,13.634303,19.799093,-0.23837313,-0.08793469,-0.2279248,-0.15064403,0.15920971,-0.009250789,-0.0028340742,-0.0245449
29.5,10.878202,13.994771,19.74691,-0.38435242,-0.2043633,-0.21640153,-0.13597612,-0.04288219,-0.13806705,-0.0035866562,-0.024227442
30.0,10.108031,14.369342,19.53913,-0.20873497,-0.10764272,-0.21057957,-0.11938347,-0.14418526,0.078027785,-0.0043094917,-0.023440992
30.5,11.573063,14.694185,19.450691,-0.36150655,-0.15837775,-0.20143895,-0.10202426,0.087514915,0.10050917,-0.004492064,-0.022181964
31.0,10.59635,14.980487,19.444897,-0.17876022,-0.14762436,-0.18087417,-0.109448396,0.09581153,-0.115489,-0.004499937,-0.021337308
31.5,12.29423,15.246961,19.258648,-0.33292207,-0.14031191,-0.1620268,-0.12541829,-0.10798342,-0.06485311,-0.003506166,-0.021024486
32.0,11.071691,15.521324,19.495275,-0.1753514,-0.17502147,-0.14357822,-0.14107464,-0.046269692,0.13705322,-0.0007002973,-0.021452084
32.5,13.080241,15.829347,19.612345,-0.291397,-0.12262976,-0.141891,-0.15940328,0.12212013,0.020271419,0.0015392374,-0.021932883
33.0,11.949985,16.148495,19.893854,-0.15917177,-0.20426726,-0.13383561,-0.17429268,-0.01592507,-0.13609703,0.003460169,-0.021235794
33.5,14.6310215,16.388556,20.141146,-0.23468992,-0.1379487,-0.12473438,-0.18806206,-0.10553936,0.03304501,0.0056721503,-0.020244142
34.0,13.596212,16.595024,20.178558,-0.14177574,-0.25623232,-0.117889255,-0.20220913,0.0652135,0.096415974,0.0076539055,-0.019282883
34.5,17.236973,16.7885,20.26844,-0.185009,-0.21085006,-0.1296249,-0.21755138,0.060882494,-0.06211266,0.006527462,-0.019540338
