predecessor,current,delta_MAE_dB,delta_percent,CI95_low_dB,CI95_high_dB,classification
mean_curve,scalar_ridge,0.07971221961670147,1.0735130310437981,0.05147887359181601,0.10807821426674173,directionally supported; practical size unresolved
scalar_ridge,vector_ridge,1.4429180151957773e-13,1.9225901715573735e-12,1.1182004429401497e-13,1.7666419733778188e-13,practically equivalent
vector_ridge,polynomial_ridge,-0.008227417226013627,-0.10962474187342598,-0.03481854901375803,0.019511833085931865,practically equivalent
polynomial_ridge,random_forest,0.3074083730649654,4.100502772976871,0.20198025165191064,0.4082206915293066,practically meaningful increase
random_forest,neural_mlp,-0.2969374422591611,-3.8048150758721158,-0.40127012914645416,-0.18837740575286707,practically meaningful reduction
vector_ridge,neural_mlp,0.0022435135797906304,0.02989329340153563,-0.00511066635758501,0.00953745991079798,practically equivalent
neural_mlp,polynomial_neural_mlp,0.0013935478851013184,0.01856252934051026,-0.03070016805523762,0.03391854643381552,practically equivalent
polynomial_neural_mlp,curve_neural,-0.12042732209803016,-1.6038349649428425,-0.16133593439848218,-0.07742689137611074,directionally supported; practical size unresolved
curve_neural,full_smatrix_neural,3.4020097255706787,46.04601405725131,3.3103965282440186,3.490110683441162,practically meaningful increase
